hostId,time,CPUUtilization
78,120.1649051805571,"[20, 20, 0, 20, 20, 0, 0, 20, 20, 20, 20, 20, 20, 20, 20, 20]"
36,120.16558203083956,"[20, 0, 20, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
34,120.17575909397289,"[20, 0, 20, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
48,120.17609544142393,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
44,120.17705035706484,"[0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,120.17762263514922,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
74,120.17916415190143,"[20, 20, 20, 20, 20, 20, 0, 20, 0, 0, 0, 0, 20, 20, 20, 20]"
60,120.18068091885465,"[0, 20, 20, 0, 0, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]"
3,120.19148682162906,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,120.19702340657992,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
22,120.19991484885423,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0]"
38,120.20514231335592,"[20, 0, 0, 20, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
68,120.20901592913022,"[20, 0, 20, 0, 20, 20, 0, 20, 20, 0, 0, 20, 20, 20, 20, 20]"
5,120.21988409620829,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
71,120.21995923314304,"[20, 0, 20, 20, 20, 20, 0, 20, 20, 20, 20, 20, 20, 20, 20, 20]"
11,120.22655171286098,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
65,120.24044808741584,"[20, 20, 0, 20, 0, 0, 20, 20, 20, 20, 0, 20, 20, 20, 20, 20]"
2,120.24765210607296,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
